facname,number,street,address,city,borough,latitude,longitude
SOUNDVIEW,1700,SEWARD AVENUE,1700 SEWARD AVENUE,BRONX,BRONX,40.81811782,-73.86752335
LEARNING TREE PREP SCHOOL,801,BARTHOLDI STREET,801 BARTHOLDI STREET,BRONX,BRONX,40.87421002,-73.86244709
OLD GROLIER CLUB,,,,NEW YORK,MANHATTAN,40.74647157,-73.98329065
KIPS BAY BOYS & GIRLS CLUB,1930,RANDALL AVENUE,1930 RANDALL AVENUE,BRONX,BRONX,40.81734028,-73.85663302
QUEENS VILLAGE BUS DEPOT,22201,98 AVENUE,22201 98 AVENUE,QUEENS VILLAGE,QUEENS,40.717253,-73.730207
ELS LANGUAGE CENTERS,17,BATTERY PLACE,17 BATTERY PLACE,NEW YORK,MANHATTAN,40.70553066,-74.01597724
HARMONY TRIANGLE,,,,BROOKLYN,BROOKLYN,40.70327088,-73.95039703
"SIX FIGURES, INC.",,,,NEW YORK,MANHATTAN,,
P.S. 007 ABRAHAM LINCOLN,858,JAMAICA AVENUE,858 JAMAICA AVENUE,BROOKLYN,BROOKLYN,40.68931146,-73.87302386
GREAT COMMISSION CHRISTIAN SCHOOL,1187,EAST 92 STREET,1187 EAST 92 STREET,BROOKLYN,BROOKLYN,40.64079938,-73.90387978
"GOTHAM ARTS EXCHANGE, INC.",168,WEST 123 STREET,168 WEST 123 STREET,NEW YORK,MANHATTAN,40.80730361,-73.94889519
WATERLINE 1 OPERATING LLC,10,RIVERSIDE BOULEVARD,10 RIVERSIDE BOULEVARD,NEW YORK,MANHATTAN,40.77282697,-73.99268573
QE13G GARAGE,153-67,146 AVENUE,153-67 146 AVENUE,JAMAICA,QUEENS,40.66505539,-73.78440487
773 EAST PARKING CORP,773,EAST 233 STREET,773 EAST 233 STREET,BRONX,BRONX,40.89283872,-73.85483096
BLUDHAVEN ENTERPRISES INC,432,RODNEY STREET,432 RODNEY STREET,BROOKLYN,BROOKLYN,40.71253263,-73.95340119
994 GLENMORE AVE TEXTILE DROP-OFF SITE,,,"994 GLENMORE AVENUE, BROOKLYN, NY, USA",BROOKLYN,BROOKLYN,40.676286,-73.873152
SP PLUS CORPORATION,555,WEST 57 STREET,555 WEST 57 STREET,NEW YORK,MANHATTAN,40.77039289,-73.99046417
