name,Latitude,Longitude
Rosedale,40.660152,-73.739488
Bayside,40.760363,-73.768588
Central Library- The Archives,40.707865,-73.795295
Hollis,40.719914,-73.762191
Douglaston/Little Neck,40.76795,-73.738088
Queensboro Hill,40.743081,-73.825526
Howard Beach,40.664069,-73.841928
South Jamaica,40.695879,-73.790734
Long Island City,40.757826,-73.938771
Elmhurst,40.738498,-73.877382
McGoldrick,40.763998,-73.809754
Bellerose,40.735403,-73.717266
Far Rockaway,40.604487,-73.752641
Windsor Park,40.734936,-73.755509
Ozone Park,40.681283,-73.847111
Lefrak City,40.738027,-73.861173
Bay Terrace,40.783103,-73.777013
North Forest Park,40.710913,-73.853662
Forest Hills,40.721777,-73.843378
Laurelton,40.677059,-73.74514
Mitchell-Linden,40.771345,-73.826582
Woodside,40.745524,-73.90982
South Ozone Park,40.675084,-73.809585
Broadway,40.758859,-73.918772
Glendale,40.703149,-73.875748
Ridgewood,40.705193,-73.902867
Woodhaven,40.694619,-73.861812
South Hollis,40.706755,-73.753827
Steinway,40.777105,-73.909496
Sunnyside,40.740977,-73.921797
Maspeth,40.727126,-73.893357
Hillcrest,40.728981,-73.781902
Baisley Park,40.680318,-73.79203
Richmond Hill,40.701022,-73.83211
Cyber Center,40.707865,-73.795295
Jackson Heights,40.751319,-73.885533
North Hills,40.75942,-73.731307
Lefferts,40.687273,-73.824691
Job Information Center,40.707865,-73.795295
East Flushing,40.757877,-73.784804
Poppenhusen,40.785984,-73.846506
East Elmhurst,40.76278,-73.874016
Middle Village,40.71258,-73.880885
Pomonok,40.732272,-73.809902
Rego Park,40.726991,-73.864371
Broad Channel,40.600838,-73.820374
Seaside,40.57971,-73.837487
Auburndale,40.773525,-73.796552
Queens Village,40.719749,-73.739299
Kew Gardens Hills,40.725815,-73.820989
Glen Oaks,40.745388,-73.715036
Briarwood,40.71014,-73.819621
St. Albans,40.692284,-73.760112
Langston Hughes,40.757361,-73.868331
Corona,40.750871,-73.862204
Astoria,40.772173,-73.928757
Peninsula,40.5863,-73.815797
Fresh Meadows,40.74172,-73.782521
Whitestone,40.78864,-73.810893
Cambria Heights,40.69554,-73.74138
Court Square,40.746845,-73.94444
Rochdale Village,40.672568,-73.770994
Flushing,40.757784,-73.829252
Central Library,40.707865,-73.795295
Arverne,40.593066,-73.784341
